iso3,country,start_year,end_year,obesity_start_pct,obesity_latest_pct,obesity_change_pct_points,sugar_start_kg_per_capita,sugar_latest_kg_per_capita,sugar_change_kg_per_capita,who_region,who_region_code,obesity_increase_rank
PAK,Pakistan,2010,2023,11.278046,23.43822,12.160174,25.43,28.04,2.61,Eastern Mediterranean,EMR,1
PAN,Panama,2010,2023,25.012425,36.794108,11.781683,40.43,65.57,25.14,Americas,AMR,2
ROU,Romania,2010,2023,19.893171,31.546676,11.653505,26.72,30.13,3.41,Europe,EUR,3
CHL,Chile,2010,2023,27.923939,39.535069,11.61113,48.55,45.45,-3.1,Americas,AMR,4
UZB,Uzbekistan,2010,2023,18.791679,30.34406,11.552381,20.18,19.72,-0.46,Europe,EUR,5
BRA,Brazil,2010,2023,17.637084,29.141399,11.504315,43.38,38.9,-4.48,Americas,AMR,6
ARG,Argentina,2010,2023,24.746643,36.227265,11.480622,46.7,39.06,-7.64,Americas,AMR,7
PER,Peru,2010,2023,17.106515,28.237936,11.131421,21.93,20.61,-1.32,Americas,AMR,8
AFG,Afghanistan,2010,2023,9.0678148,19.617915,10.5501002,9.92,10.6,0.68,Eastern Mediterranean,EMR,9
URY,Uruguay,2010,2023,23.547448,34.069946,10.522498,53.44,46.08,-7.36,Americas,AMR,10
PRY,Paraguay,2010,2023,23.525319,33.836645,10.311326,33.6,26.85,-6.75,Americas,AMR,11
FJI,Fiji,2010,2023,28.136307,38.170794,10.034487,170.13,113.67,-56.46,Western Pacific,WPR,12
HND,Honduras,2010,2023,21.351543,31.009603,9.65806,54.62,57.51,2.89,Americas,AMR,13
GEO,Georgia,2010,2023,25.372201,34.996569,9.624368,39.23,37.88,-1.35,Europe,EUR,14
BHS,Bahamas,2010,2023,38.091245,47.612473,9.521228,46.66,70.36,23.7,Americas,AMR,15
JAM,Jamaica,2010,2023,24.944292,34.440994,9.496702,61.11,50.38,-10.73,Americas,AMR,16
BOL,Bolivia (Plurinational State of),2010,2023,19.491483,28.970718,9.479235,90.47,86.86,-3.61,Americas,AMR,17
LCA,Saint Lucia,2010,2023,24.625361,34.015241,9.38988,54.94,49.71,-5.23,Americas,AMR,18
GUY,Guyana,2010,2023,20.027827,29.360059,9.332232,64.5,75.56,11.06,Americas,AMR,19
LBR,Liberia,2010,2023,7.3543966,16.658571,9.3041744,7.75,6.49,-1.26,Africa,AFR,20
BRB,Barbados,2010,2023,29.432887,38.692412,9.259525,63.0,50.73,-12.27,Americas,AMR,21
GTM,Guatemala,2010,2023,18.031758,27.243969,9.212211,45.53,82.49,36.96,Americas,AMR,22
WSM,Samoa,2010,2023,54.489356,63.639909,9.150553,36.79,41.63,4.84,Western Pacific,WPR,23
ECU,Ecuador,2010,2023,19.136938,28.176948,9.04001,87.28,97.37,10.09,Americas,AMR,24
BLZ,Belize,2010,2023,33.726481,42.73425,9.007769,48.56,40.01,-8.55,Americas,AMR,25
DOM,Dominican Republic,2010,2023,21.065953,30.037835,8.971882,35.01,44.53,9.52,Americas,AMR,26
VCT,Saint Vincent and the Grenadines,2010,2023,25.174984,33.898997,8.724013,47.24,73.83,26.59,Americas,AMR,27
KNA,Saint Kitts and Nevis,2010,2023,37.393221,46.097073,8.703852,71.6,74.91,3.31,Americas,AMR,28
MEX,Mexico,2010,2023,28.006428,36.704901,8.698473,52.66,42.02,-10.64,Americas,AMR,29
MNG,Mongolia,2010,2023,15.791546,24.411491,8.619945,46.23,88.57,42.34,Western Pacific,WPR,30
ATG,Antigua and Barbuda,2010,2023,25.448552,33.909556,8.461004,48.75,47.98,-0.77,Americas,AMR,31
HRV,Croatia,2010,2023,21.790868,30.115309,8.324441,54.33,58.26,3.93,Europe,EUR,32
CRI,Costa Rica,2010,2023,23.721251,32.04352,8.322269,56.41,51.69,-4.72,Americas,AMR,33
GRD,Grenada,2010,2023,22.563088,30.834097,8.271009,34.91,50.34,15.43,Americas,AMR,34
SUR,Suriname,2010,2023,21.844937,30.105042,8.260105,50.8,123.35,72.55,Americas,AMR,35
SYC,Seychelles,2010,2023,24.813327,32.983157,8.16983,44.21,63.7,19.49,Africa,AFR,36
NIC,Nicaragua,2010,2023,26.275706,34.300143,8.024437,59.81,50.02,-9.79,Americas,AMR,37
KGZ,Kyrgyzstan,2010,2023,13.439797,21.358687,7.91889,40.18,54.33,14.15,Europe,EUR,38
MYS,Malaysia,2010,2023,14.900994,22.664274,7.76328,50.98,44.4,-6.58,Western Pacific,WPR,39
SLV,El Salvador,2010,2023,24.068144,31.589332,7.521188,41.42,32.67,-8.75,Americas,AMR,40
TJK,Tajikistan,2010,2023,15.003853,22.498134,7.494281,20.3,17.04,-3.26,Europe,EUR,41
EGY,Egypt,2010,2023,36.051965,43.513831,7.461866,26.14,21.33,-4.81,Eastern Mediterranean,EMR,42
COL,Colombia,2010,2023,16.987242,24.326906,7.339664,59.25,51.87,-7.38,Americas,AMR,43
THA,Thailand,2010,2023,8.2944579,15.61881,7.3243521,83.11,52.79,-30.32,South-East Asia,SEAR,44
GAB,Gabon,2010,2023,14.765006,21.98592,7.220914,21.98,22.85,0.87,Africa,AFR,45
SWZ,Eswatini,2010,2023,21.966481,28.991404,7.024923,39.49,48.26,8.77,Africa,AFR,46
MDV,Maldives,2010,2023,10.225724,17.177238,6.951514,41.4,31.78,-9.62,South-East Asia,SEAR,47
MRT,Mauritania,2010,2023,16.534288,23.445936,6.911648,39.63,37.59,-2.04,Africa,AFR,48
AZE,Azerbaijan,2010,2023,20.214045,26.991722,6.777677,44.61,47.83,3.22,Europe,EUR,49
ALB,Albania,2010,2023,16.827813,23.535688,6.707875,36.87,53.65,16.78,Europe,EUR,50
HUN,Hungary,2010,2023,24.207988,30.871662,6.663674,34.51,59.75,25.24,Europe,EUR,51
IDN,Indonesia,2010,2023,4.8356511,11.156934,6.3212829,15.63,28.05,12.42,Western Pacific,WPR,52
LSO,Lesotho,2010,2023,15.391941,21.712027,6.320086,20.56,26.29,5.73,Africa,AFR,53
PYF,French Polynesia,2010,2023,42.321733,48.639444,6.317711,47.48,37.35,-10.13,Western Pacific,WPR,54
STP,Sao Tome and Principe,2010,2023,10.985509,17.275108,6.289599,31.12,31.21,0.09,Africa,AFR,55
COM,Comoros,2010,2023,9.9470645,16.185819,6.2387545,13.14,18.31,5.17,Africa,AFR,56
IRQ,Iraq,2010,2023,33.215207,39.348495,6.133288,25.39,67.64,42.25,Eastern Mediterranean,EMR,57
SVK,Slovakia,2010,2023,19.652885,25.602496,5.949611,82.68,79.41,-3.27,Europe,EUR,58
TTO,Trinidad and Tobago,2010,2023,24.512571,30.394182,5.881611,66.37,38.87,-27.5,Americas,AMR,59
TKM,Turkmenistan,2010,2023,15.947422,21.792744,5.845322,21.14,16.98,-4.16,Europe,EUR,60
SAU,Saudi Arabia,2010,2023,33.991966,39.798346,5.80638,37.17,34.66,-2.51,Eastern Mediterranean,EMR,61
