iso3,country,year,obesity_pct,obesity_pct_low,obesity_pct_high,sugar_supply_kg_per_capita,sugar_supply_kcal_per_capita_day,who_region,who_region_code,obesity_rank_in_year,sugar_rank_in_year,obesity_change_from_previous_year,sugar_change_from_previous_year
TON,Tonga,2023,72.97042,68.930387,76.810586,47.22,206.29,Western Pacific,WPR,1,71,0.911766,2.71
NRU,Nauru,2023,71.092153,67.931932,74.130607,85.38,435.03,Western Pacific,WPR,2,11,0.306935,0.75
TUV,Tuvalu,2023,64.610463,59.177387,69.829386,61.8,528.05,Western Pacific,WPR,3,36,0.480562,6.05
WSM,Samoa,2023,63.639909,58.881569,68.317252,41.63,326.05,Western Pacific,WPR,4,80,0.645435,-10.1
PYF,French Polynesia,2023,48.639444,41.770354,55.529481,37.35,258.58,Western Pacific,WPR,5,98,0.514606,-8.14
FSM,Micronesia (Federated States of),2023,48.157895,42.210445,54.078311,55.43,254.4,Western Pacific,WPR,6,45,0.492034,5.43
BHS,Bahamas,2023,47.612473,43.50242,51.795566,70.36,197.46,Americas,AMR,7,22,0.679734,7.41
KNA,Saint Kitts and Nevis,2023,46.097073,37.964877,54.312491,74.91,441.05,Americas,AMR,8,20,0.624892,-4.47
KIR,Kiribati,2023,45.396313,42.573297,48.236346,50.42,442.6,Western Pacific,WPR,9,58,0.194693,6.71
EGY,Egypt,2023,43.513831,40.405566,46.764633,21.33,217.05,Eastern Mediterranean,EMR,10,131,0.417333,-0.52
BLZ,Belize,2023,42.73425,38.26924,47.470677,40.01,347.93,Americas,AMR,11,84,0.657996,0.89
MHL,Marshall Islands,2023,41.829133,38.123393,45.447317,69.74,238.44,Western Pacific,WPR,12,23,0.138926,-5.19
QAT,Qatar,2023,41.726986,34.987321,48.615816,35.12,256.19,Eastern Mediterranean,EMR,13,101,0.244517,-5.49
USA,United States of America,2023,40.696454,38.278383,43.119472,62.95,569.31,Americas,AMR,14,34,0.261676,-3.06
KWT,Kuwait,2023,40.525019,35.729364,45.258918,39.05,277.93,Eastern Mediterranean,EMR,15,88,-0.186166,-0.9
SAU,Saudi Arabia,2023,39.798346,34.870219,45.073622,34.66,347.95,Eastern Mediterranean,EMR,16,102,0.248873,-2.38
CHL,Chile,2023,39.535069,35.240048,43.767574,45.45,445.27,Americas,AMR,17,74,0.926077,-2.03
IRQ,Iraq,2023,39.348495,34.685355,44.123134,67.64,305.99,Eastern Mediterranean,EMR,18,25,0.332975,-0.22
BRB,Barbados,2023,38.692412,32.699895,44.783866,50.73,426.23,Americas,AMR,19,57,0.721124,-2.73
FJI,Fiji,2023,38.170794,35.590455,40.732807,113.67,345.28,Western Pacific,WPR,20,4,0.854865,4.64
PAN,Panama,2023,36.794108,33.132982,40.413883,65.57,336.8,Americas,AMR,21,30,0.914782,4.43
MEX,Mexico,2023,36.704901,34.805539,38.654655,42.02,406.47,Americas,AMR,22,79,0.650057,1.68
ARG,Argentina,2023,36.227265,33.240056,39.396083,39.06,386.07,Americas,AMR,23,87,0.960955,2.72
JOR,Jordan,2023,35.545477,33.741635,37.38181,81.12,377.08,Eastern Mediterranean,EMR,24,14,-0.201071,-9.13
GEO,Georgia,2023,34.996569,30.729491,39.412898,37.88,375.67,Europe,EUR,25,95,0.711268,-2.5
BHR,Bahrain,2023,34.752619,28.285769,41.512215,51.93,455.06,Eastern Mediterranean,EMR,26,54,0.120467,-3.99
JAM,Jamaica,2023,34.440994,30.434826,38.58875,50.38,404.37,Americas,AMR,27,59,0.744369,-0.61
NIC,Nicaragua,2023,34.300143,27.998492,41.107506,50.02,375.75,Americas,AMR,28,61,0.591949,10.48
URY,Uruguay,2023,34.069946,28.907967,39.360657,46.08,403.05,Americas,AMR,29,72,0.866887,-3.99
LCA,Saint Lucia,2023,34.015241,30.602068,37.457386,49.71,307.75,Americas,AMR,30,62,0.752035,-29.58
ATG,Antigua and Barbuda,2023,33.909556,24.086235,44.239008,47.98,234.04,Americas,AMR,31,68,0.667965,1.87
VCT,Saint Vincent and the Grenadines,2023,33.898997,29.169407,39.016551,73.83,382.89,Americas,AMR,32,21,0.698247,7.73
PRY,Paraguay,2023,33.836645,30.897132,36.851287,26.85,217.98,Americas,AMR,33,123,0.832841,3.12
NZL,New Zealand,2023,33.653995,31.461564,35.839453,55.1,498.83,Western Pacific,WPR,34,47,0.364986,-1.63
LBY,Libya,2023,33.561608,30.918163,36.38711,41.3,337.19,Eastern Mediterranean,EMR,35,81,0.095287,2.52
SYC,Seychelles,2023,32.983157,29.753253,36.326382,63.7,295.8,Africa,AFR,36,32,0.824675,10.37
SYR,Syrian Arab Republic,2023,32.765633,26.514092,39.536479,13.16,73.57,Eastern Mediterranean,EMR,37,152,0.210214,-6.19
CRI,Costa Rica,2023,32.04352,27.680406,36.645705,51.69,473.05,Americas,AMR,38,56,0.641528,1.01
ARE,United Arab Emirates,2023,31.707385,27.549329,36.067432,31.43,268.36,Eastern Mediterranean,EMR,39,111,-0.110546,3.01
SLV,El Salvador,2023,31.589332,26.952675,36.355963,32.67,327.21,Americas,AMR,40,107,0.562346,-0.95
ROU,Romania,2023,31.546676,28.988382,34.144381,30.13,297.5,Europe,EUR,41,114,0.861919,-0.35
ZAF,South Africa,2023,31.448585,28.560024,34.38029,34.4,273.96,Africa,AFR,42,103,0.314757,-1.02
HND,Honduras,2023,31.009603,25.562778,37.059036,57.51,416.95,Americas,AMR,43,40,0.73886,2.27
HUN,Hungary,2023,30.871662,28.195181,33.639821,59.75,492.68,Europe,EUR,44,37,0.487077,14.29
GRD,Grenada,2023,30.834097,25.257775,36.756167,50.34,346.97,Americas,AMR,45,60,0.672758,3.52
MLT,Malta,2023,30.652386,25.655663,35.782626,83.59,414.88,Europe,EUR,46,12,-0.037229,-0.18
LBN,Lebanon,2023,30.45328,27.901047,33.036515,67.08,437.41,Eastern Mediterranean,EMR,47,26,0.276414,-9.6
TTO,Trinidad and Tobago,2023,30.394182,27.731127,33.048078,38.87,361.15,Americas,AMR,48,90,0.493125,-3.91
UZB,Uzbekistan,2023,30.34406,27.514398,33.309695,19.72,190.28,Europe,EUR,49,137,0.879639,-2.95
AUS,Australia,2023,30.188671,27.146229,33.455428,43.17,431.92,Western Pacific,WPR,50,77,0.391171,-0.97
HRV,Croatia,2023,30.115309,26.764071,33.673856,58.26,415.84,Europe,EUR,51,39,0.654742,-16.37
SUR,Suriname,2023,30.105042,24.075839,36.473948,123.35,458.86,Americas,AMR,52,3,0.679194,-0.73
OMN,Oman,2023,30.098796,26.034117,34.290785,29.16,248.93,Eastern Mediterranean,EMR,53,116,0.308284,-0.03
DOM,Dominican Republic,2023,30.037835,26.237166,34.033349,44.53,400.69,Americas,AMR,54,75,0.727126,-1.93
GUY,Guyana,2023,29.360059,25.128204,33.882216,75.56,350.97,Americas,AMR,55,19,0.763917,-1.06
BRA,Brazil,2023,29.141399,26.793361,31.590936,38.9,381.29,Americas,AMR,56,89,0.982347,0.26
SWZ,Eswatini,2023,28.991404,26.728547,31.355017,48.26,307.99,Africa,AFR,57,67,0.601876,-2.93
BOL,Bolivia (Plurinational State of),2023,28.970718,26.718631,31.234208,86.86,276.86,Americas,AMR,58,10,0.725016,3.66
TUR,Türkiye,2023,28.930968,26.983833,30.860388,28.93,288.78,Europe,EUR,59,117,-0.164396,0.32
PER,Peru,2023,28.237936,27.045938,29.398611,20.61,203.14,Americas,AMR,60,134,0.907883,0.1
ECU,Ecuador,2023,28.176948,25.263745,31.08938,97.37,322.58,Americas,AMR,61,7,0.737765,2.24
IRL,Ireland,2023,27.641788,23.915991,31.452426,98.78,486.67,Europe,EUR,62,6,0.236234,11.78
PNG,Papua New Guinea,2023,27.464315,19.292165,36.658108,9.61,89.89,Western Pacific,WPR,63,160,0.507199,-1.71
GTM,Guatemala,2023,27.243969,23.794536,31.03222,82.49,593.75,Americas,AMR,64,13,0.725925,-0.13
