iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2024,20.56208236239853,2023,10.6,106.75
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2025,21.513470693750946,2024,10.6,106.75
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2026,22.472313834267283,2025,10.6,106.75
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2027,23.439263583787028,2026,10.6,106.75
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2028,24.41518410520997,2027,10.6,106.75
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2029,25.401038164410295,2028,10.6,106.75
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2030,26.397831840495098,2029,10.6,106.75
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2024,20.56208236239853,2023,10.751428571428571,108.27499999999999
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2025,21.513456408760522,2024,10.902857142857142,109.79999999999998
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2026,22.472265121814942,2025,11.054285714285715,111.325
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2027,23.43916350760942,2026,11.205714285714286,112.85000000000001
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2028,24.415019896056016,2027,11.357142857142856,114.375
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2029,25.400800470786145,2028,11.508571428571427,115.89999999999999
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2030,26.397513987833904,2029,11.66,117.42500000000001
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2024,20.56208236239853,2023,10.630285714285714,107.055
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2025,21.513467836752863,2024,10.660571428571428,107.36000000000001
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2026,22.47230409177682,2025,10.690857142857144,107.665
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2027,23.439243568551518,2026,10.721142857142857,107.96999999999998
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2028,24.4151512633792,2027,10.751428571428571,108.27499999999999
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2029,25.400990625685495,2028,10.781714285714285,108.58
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2030,26.397768269962896,2029,10.812,108.885
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2024,20.56208236239853,2023,10.675714285714285,107.5125
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2025,21.513463551255736,2024,10.751428571428571,108.27499999999999
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2026,22.472289478041116,2025,10.827142857142857,109.0375
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2027,23.43921354569823,2026,10.902857142857142,109.79999999999998
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2028,24.415102000633006,2027,10.97857142857143,110.56250000000001
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2029,25.400919317598238,2028,11.054285714285715,111.325
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2030,26.397672914164524,2029,11.13,112.0875
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2024,20.56208236239853,2023,10.448571428571428,105.22500000000001
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2025,21.51348497874137,2024,10.297142857142857,103.7
