iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,predicted_obesity_change_3yr,predicted_annualized_change,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption,model_name,model_type
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2024,20.552306146863774,2023,2.8031734405913236,0.9343911468637746,10.6,106.75,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2025,21.478586947567187,2024,2.7788424021102447,0.9262808007034149,10.6,106.75,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2026,22.389771918814716,2025,2.733554913742582,0.9111849712475273,10.6,106.75,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2027,23.278464259884984,2026,2.666077023210798,0.8886923410702661,10.6,106.75,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2028,24.137319340229713,2027,2.5765652410341886,0.8588550803447296,10.6,106.75,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2029,24.958838134157048,2028,2.464556381782005,0.8215187939273351,10.6,106.75,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Constant sugar,0.0,2030,25.735387462782786,2029,2.329647985877214,0.776549328625738,10.6,106.75,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2024,20.552306146863774,2023,2.8031734405913236,0.9343911468637746,10.751428571428571,108.27499999999999,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2025,21.47855158308846,2024,2.7787363086740595,0.9262454362246865,10.902857142857142,109.79999999999998,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2026,22.389692164497696,2025,2.7334217442277047,0.9111405814092349,11.054285714285715,111.325,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2027,23.278386024728402,2026,2.666081580692118,0.8886938602307061,11.205714285714286,112.85000000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2028,24.137341899982253,2027,2.576867625761551,0.8589558752538503,11.357142857142856,114.375,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2029,24.959122811182038,2028,2.4653427335993494,0.8217809111997831,11.508571428571427,115.89999999999999,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2030,25.736163242984468,2029,2.33112129540729,0.7770404318024301,11.66,117.42500000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2024,20.552306146863774,2023,2.8031734405913236,0.9343911468637746,10.630285714285714,107.055,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2025,21.478579874671443,2024,2.7788211834230077,0.9262737278076693,10.660571428571428,107.36000000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2026,22.389755967951313,2025,2.73352827983961,0.9111760932798699,10.690857142857144,107.665,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2027,23.278448612853666,2026,2.666077934707061,0.8886926449023537,10.721142857142857,107.96999999999998,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2028,24.137323852180213,2027,2.576625717979646,0.8588752393265486,10.751428571428571,108.27499999999999,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2029,24.95889506956203,2028,2.4647136521454485,0.8215712173818162,10.781714285714285,108.58,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2030,25.735542618823093,2029,2.3299426477831915,0.7766475492610638,10.812,108.885,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2024,20.552306146863774,2023,2.8031734405913236,0.9343911468637746,10.675714285714285,107.5125,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2025,21.478569265327824,2024,2.778789355392152,0.9262631184640506,10.751428571428571,108.27499999999999,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2026,22.389732041656206,2025,2.7334883289851435,0.9111627763283812,10.827142857142857,109.0375,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2027,23.27842514230669,2026,2.6660793019514575,0.8886931006504858,10.902857142857142,109.79999999999998,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2028,24.137330620105978,2027,2.5767164333978614,0.8589054777992872,10.97857142857143,110.56250000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2029,24.95898047266953,2028,2.4649495576906624,0.8216498525635542,11.054285714285715,111.325,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2030,25.735775352883604,2029,2.3303846406422215,0.7767948802140738,11.13,112.0875,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2024,20.552306146863774,2023,2.8031734405913236,0.9343911468637746,10.448571428571428,105.22500000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2025,21.478622312045918,2024,2.778948495546431,0.9263161651821438,10.297142857142857,103.7,linear_regression,sugar_sensitivity_model
